N,MASCHIO,UNISEX,FEMMINA
1,"E' risaputo i maschietti reggono di più, quindi bevi x1 per essere alla pari con le ragazze!",Bevi x1 se sei figlio unico,"Lo so... sei una bella ragazza e starai pensando quanto sono brutti i partecipanti maschi al gioco. Non ti preoccupare, abbiamo una soluzione per te: bevi x1! Stai tranquilla l'alcool rende tutti più affascinanti"
2,,Bevi x1 se hai fratelli o sorelle,
3,,"Bevi x1/2 se il numero della somma dei tuoi fratelli e sorelle è dispari, x1 se pari, non bevi nulla se sei figlio unico",
4,Fai 2 serie da 8 flessioni!,"Se hai un fratello o una sorella scrivi su un fogliettino un valore tra 1 e 10 sulla scala di quanto siete in confidenza, raccontaci poi la volta in cui siete entrati più in confidenza. Gli altri giocatori scelgono all'unisolo il valore che potrebbe esserci scritto nel bigliettino e una volta deciso si svela il valore dello stesso. In caso fosse esatto il team di giocatori fa bere il giocatore x2! Se sei figlio unico salti il turno",Fai 2 serie da 15 squat!
5,Tieni le mani come se impugnassi una pistola per i prossimi 3 minuti,"Lancia un dado, la cifra che ottieni dividila per 3... ed ecco! Il risultato sarà la quantità di bevute che dovrai bere! (Si approssima sempre per difetto a una precisione dello 0,5). Esempio: il risultato del dado è 5, 5÷3=1,6 che approssimato diventa 1,5. Se il risultato del dado fosse 4 invece sarebbe 4÷3=1,3 che approssimato sarebbe 1.","In questa sfida scegli te come suddividerti le bevute in rapporto alla difficoltà dell'esercizio fisico ""Jamping Jacks"", queste 3 sono le opzioni tra cui puoi scegliere; (1°) Fai 60 jamping jacks senza fermarti e non bevi nulla! (2°) Fai 35 jamping jacks e bevi x1/2! (3°) Fai 10 jamping jacks e bevi x1! Scegli un'opzione prima di procedere con l'esercizio e se non raggiungi l'obbiettivo da te imposto avrai perso e ti toccherà bere x2!"
6,Ogni giocatore femmina prende una penna e fa un disegno di massimo 5cm quadrati su un tuo braccio o su una tua gamba,Lancia un dado; pari bevi x1 dispari non bevi,Scegli un ragazzo che avrà la possibilità di farti una nuova acconciatura di capelli
7,Vota il giocatore donna che secondo te ha le labbra più carnose,Lancia due volte un dado; se entrambe le volte esce lo stesso numero bevi x1,Vota il giocatore uomo che secondo te ha più muscoli
8,Sei obbligato a rispondere ad una verità scelta dalle ragazze... A meno che tu non voglia bere x1!,Lanciate tutti un dado chi fa meno beve x1. (In caso di parità tra alcuni giocatori ci sarà uno spareggio solo tra loro),"Rimani bendata per i prossimi 5 minuti. (Se nelle prossime sfide viene necessariamente richiesto l'uso della vista, potrai stoppare il tempo e sbendarti per il periodo strettamente necessario, mentre se è possibile risolvere la sfida tramite la guida degli altri giocatori allora non dovrai sbendarti)"
9,Indossa una cravatta,Bevi x1/2!,"Rimani bendata per i prossimi 10 minuti. (Se nelle prossime sfide viene necessariamente richiesto l'uso della vista, potrai stoppare il tempo e sbendarti per il periodo strettamente necessario, mentre se è possibile risolvere la sfida tramite la guida degli altri giocatori allora non dovrai sbendarti)"
10,Solleva un peso di almeno 3 kg 10 volte per braccio,Bevi x1!,"Rimani bendata per i prossimi 15 minuti. (Se nelle prossime sfide viene necessariamente richiesto l'uso della vista, potrai stoppare il tempo e sbendarti per il periodo strettamente necessario, mentre se è possibile risolvere la sfida tramite la guida degli altri giocatori allora non dovrai sbendarti)"
11,Solleva un peso di almeno 3 kg 15 volte per braccio,Bevi x1 e 1/2!,"Rimani bendata per i prossimi 20 minuti. (Se nelle prossime sfide viene necessariamente richiesto l'uso della vista, potrai stoppare il tempo e sbendarti per il periodo strettamente necessario, mentre se è possibile risolvere la sfida tramite la guida degli altri giocatori allora non dovrai sbendarti)"
12,Solleva un peso di almeno 3 kg 20 volte per braccio,"Bevi x2, aspetta però! Hai una sola possibilità per scamparla... lancia un dado e prega esca la faccia numero 6!",Ti è bandito l'utilizzo del telefono per i prossimi 5 minuti. Dovrai posizionarlo sopra il frigorifero e non toccarlo fino al scadere del tempo! (Se il dispositivo usato per giocare è proprio il tuo telefono allora dovrà utilizzare questo smartphone un altro giocatore. Se una futura sfida richiederà l'utilizzo di questo telefono allora questa sfida verrà messa momentaneamente in pausa e ripresa al termine)
13,Solleva un peso di almeno 3 kg 25 volte per braccio,"Scegli e chiama dei numeri telefonici di persone che non conosci finché qualcuno non risponde alla chiamata, a quel punto parlaci fingendo di essere innamorato della persona al telefono. Se entro 10 chiamate nessuno risponde o non hai il coraggio allora bevi x1!",Ti è bandito l'utilizzo del telefono per i prossimi 10 minuti. Dovrai posizionarlo sopra il frigorifero e non toccarlo fino al scadere del tempo! (Se il dispositivo usato per giocare è proprio il tuo telefono allora dovrà utilizzare questo smartphone un altro giocatore. Se una futura sfida richiederà l'utilizzo di questo telefono allora questa sfida verrà messa momentaneamente in pausa e ripresa al termine)
14,Solleva un peso di almeno 3 kg per 30 volte senza interruzioni,"Scegli e chiama un numero che non conosci al telefono cercando di far rimanere la persona che risponde in linea per almeno 20 secondi, hai la possibilità di effettuare al massimo 10 chiamate. Se nessuno risponde, non raggiungi il minutaggio o non vuoi farlo bevi x1!",Ti è bandito l'utilizzo del telefono per i prossimi 15 minuti. Dovrai posizionarlo sopra il frigorifero e non toccarlo fino al scadere del tempo! (Se il dispositivo usato per giocare è proprio il tuo telefono allora dovrà utilizzare questo smartphone un altro giocatore. Se una futura sfida richiederà l'utilizzo di questo telefono allora questa sfida verrà messa momentaneamente in pausa e ripresa al termine)
15,"Fingi di essere un bodygard fuori da una discoteca per i prossimi 5 minuti quindi stai in piedi, auricolare in un orecchio e braccia conserte. (Se una prossima sfida necessita di altre posture potrai stoppare momentaneamente questa e riprenderla una volta possibile)","Partendo da te in senso orario dovrete dire un sinonimo della parola ""guardare"", finché un giocatore non ripeterà un sinonimo già detto o non avrà più idee e dovrà bere x1/2!",Ti è bandito l'utilizzo del telefono per i prossimi 20 minuti. Dovrai posizionarlo sopra il frigorifero e non toccarlo fino al scadere del tempo! (Se il dispositivo usato per giocare è proprio il tuo telefono allora dovrà utilizzare questo smartphone un altro giocatore. Se una futura sfida richiederà l'utilizzo di questo telefono allora questa sfida verrà messa momentaneamente in pausa e ripresa al termine)
16,"Prova a effettuare quante più flessioni con il giocatore più leggero sdraiato sulla tua schiena... Lo so è impossibile, ma tu provaci!",Tutti eccetto te bevono x1/2!,"Scegli un giocatore che ti tenga le gambe ferme mentre effettui 10 ripetizioni di ""spinte in alto del bacino con gambe tese verso l'alto"""
17,"Mettiti momentaneamente una corda o una sciarpa legata intorno alla fronte come fossi Rambo e poi imita il suo ""Adrianaaaa!""",BONUS! Per la sola prossima volta che dovrai bere dimezzerai la tua bevuta!,Se indossi dei calzini corti indossa delle calze lunghe.. anche se sono maschili va bene!
