N,MASCHIO,UNISEX,FEMMINA
1,"Prendi in braccio la persona meno pensante tra tutti i giocatori presenti e fai 3 mezzi squat con essa in braccio. Lo so, può essere molto difficile... infatti se non ce la fai bevi x1/2! Scarso!","Sbottonati tutti i bottoni, slaccia tutti i lacci e apri tutte le cerniere che hai su qualsiasi vestito","Siediti sulle gambe di un giocatore maschio scelto da te per i prossimi 15 minuti (le future sfide hanno la precedenza su questa, quindi se dovessero ostacolare la riuscita di questa stoppala e riprendila appena sarà possibile)"
2,"Cerca su una piattaforma video ""Balli ragazzi tiktok"" e imita alla perfezione i primi 5 tiktok che compaiono senza poterli scegliere te. Imitarli alla perfezione significa che una volta finito un tiktok gli altri giocatori dovranno dire se sono soddisfatti della tua prestazione oppure no e in caso contrario dovrai rifarlo!","Scegli un partener del sesso opposto al tuo in modo randomico e fate la posizione yoga di coppia ""Front Bird"" rimanendo in posizione per almeno 5 secondi. Obbligatorio provarci ma se non ce la fate bevete x1/2 a testa.","Cerca su una piattaforma video ""Balli ragazze tiktok"" e imita alla perfezione i primi 5 tiktok che compaiono senza poterli scegliere te. Imitarli alla perfezione significa che una volta finito un tiktok gli altri giocatori dovranno dire se sono soddisfatti della tua prestazione oppure no e in caso contrario dovrai rifarlo!"
3,Scegli una giocatore di sesso femminile in modo randomico alla quale devi fare un baciamano partendo dalla mano e arrivando fino alla spalla molto lentamente,"Scegli un partener del sesso opposto al tuo in modo randomico e fate la posizione yoga di coppia ""Il pesce sollevato"" rimanendo in posizione per almeno 5 secondi. Obbligatorio provarci ma se non ce la fate bevete x1/2 a testa.","Siediti a cavalcioni sulle gambe di un giocatore maschio scelto da te per 15 minuti (le future sfide hanno la precedenza su questa, quindi se dovessero ostacolare la riuscita di questa stoppala e riprendila appena sarà possibile)"
4,"Se siete in un periodo compreso tra ottobre e aprile, la prossima volta che una ragazza esce sul balcone dovrai abbracciarla per tutto il tempo che starà fuori ","Prova a far venire i brividi ad una persona del sesso opposto al tuo in qualsiasi modo possibile in 45 secondi, se non ci riesci bevi x1/2!","Siediti sulle gambe di un giocatore maschio scelto da te dandogli le spalle per 15 minuti (le future sfide hanno la precedenza su questa, quindi se dovessero ostacolare la riuscita di questa stoppala e riprendila appena sarà possibile)"
5,Mostra il tuo muscolo più possente,Dai un bacio sul collo ad un giocatore di sesso opposto al tuo,"Chiedi a un assistente vocale di scegliere un numero compreso tra 0 e 25, il numero che uscirà saranno le ripetizioni dell'esercizio ""camminata sulle mani"" che dovrai fare come penitenza! Pensala positivo, rispetto a una bevuta fa bene alla salute!"
6,"Se indossi dei pantaloncini o un costume fatti un risvoltino, ma non dalla parte delle gambe ma dalla parte del busto.. così farai vedere un po' di stacco-coscia in più caro","Fai scorrere il tuo labbro inferiore sul collo di un giocatore opposto al tuo sesso, partendo dalla clavicola per finire dietro l'orecchio, puoi rifiutarti bevendo x1!","Vai su internet o su una piattaforma video e cerca ""esercizi stretching"" dovresti trovare vari video tutorial di svariati minuti, scegline uno in modo puramente casuale e con il video in riproduzione esegui almeno i primi 10 minuti del video stesso!"
7,"Effettua la posizione yoga ""VIRABHADRASANA I"" e rimani in posizione per 30 secondi.","Effettua la posizione yoga ""VIRABHADRASANA III"" e rimani in posizione per 30 secondi","Effettua la posizione yoga ""Il cane a testa in giù"" e rimani in posizione per 30 secondi"
8,"Effettua la posizione yoga ""Triangolo Esteso"" e rimani in posizione per 30 secondi","Effettua la posizione yoga ""mezza luna"" e rimani in posizione per 30 secondi","Effettua la posizione yoga ""Arco"" e rimani in posizione per 30 secondi"
9,"Effettua la posizione yoga ""Locusta"" e rimani in posizione per 30 secondi",Bacia il collo per 40 secondi di una persona del sesso opposto al tuo scelta in modo randomico,Sei capace a rimanere in verticale per 10 secondi? Se sei capace dimostracelo altrimenti scegli un giocatore maschio che ti aiuti a farlo
10,"A meno che già non lo indossi, indossa per questo turno un pantalone che si chiuda con il laccio e facci un fiocco ben saldo. Tutte i gocatori donna dovranno cercare di slacciare il laccio con il solo uso della bocca in meno di 20 secondi, chi non ci riesce beve x1!","Scegli in modo randomico un giocatore a cui dovrai fare un massaggio al collo per 5 minuti, se una sfida ostruisce l'esecuzione di questa mettetela in pausa e riprendetela appena potete","Mettiamo alla prova i maschietti, quegli incapaci! Se indossi il reggiseno Scegli un maschio che entro 15 secondi dovrà cercare di slacciarti il reggiseno con una sola mano... ce la farà il nostro eroe? Se non ce la farà beve x1! Se non indossi il reggiseno salta quasta sfida!"
