N,MASCHIO,UNISEX,FEMMINA
1,"Chiedi a tutti i giocatori donna se vogliono un massaggio ai piedi, a chi accetta dovrai farle un massaggio ai piedi di 5 minuti!",Tutti i giocatori ti tirano uno schiaffo su entrambe le chiappe,"Scegli un giocatore maschile in modo puramente casuale. Egli dovrà sedersi su un letto o su un divano tu dovrai sdraiarti su di lui a pancia in giù con i tuo bacino in corrispondenza del suo, state così per 5 minuti e ogni volta che te dovrai bere ti dovrà tirare delle piccola sculacciate per evitare che tu riesca a bere tranquillamente. (Se delle future sfide ostacoleranno questa, mettete in pausa questa sfida e riprendetela appena vi sarà possibile)"
2,"I giocatori di sesso femminile appoggiano a turno la propria mano sul tuo pantalone tastandogli il pacco (una sola volta, non fate le pervertite), tu non potrai minimamente muoverti, poi racconta qual'è stata la toccata più dolce che dovrà bere x1 e qual'è la più aggressiva che dovrà bere x1, le altre non bevono!","Provoca nel migliore dei modi per 1 minuto un giocatore del sesso opposto al tuo scelto randomicamente. Se alla fine del minuto il giocatore non è rimasto soddisfatto dovrai bere X3, se il giocatore definisce la tua performance accettabile dovrai bere x2, se il giocatore è rimasto contento dovrai bere x1, se il giocatore si ritiene eccitato non berrai nulla. Sono accettate le mezze misure di bevute come metodo di giudizio sulla performance.","Mettiamo alla prova i maschietti, quegli incapaci! Se indossi il reggiseno Scegli un maschio che entro 15 secondi dovrà cercare di slacciarti il reggiseno con una sola mano... ce la farà il nostro eroe? Se non ce la farà beve x1! Se non indossi il reggiseno salta quasta sfida!"
3,"Indossa la felpa con zip più larga che hai a disposizione, poi scegli una ragazza in modo randomico, insieme dovete abbracciarvi tanto stretti da poter chiudere la zip della felpa state così per i prossimi 5 turni. È probabile non riusciate a chiudere la zip, se così fosse provate ad avvolgervi in un telomare ma in questo caso bevete x1/2 a testa","Scegli casualmente un giocatore del sesso opposto al tuo. Il giocatore si sdraia a terra tu prendi dello zucchero e lo metti sulle sole parti del corpo che sono scoperte tra queste: collo, cosce e petto. Infine magia lo zucchero per pulire il giocatore!","Scegli un ragazzo, egli dovrà cercare di indovinare la taglia e la coppa di reggiseno che stai indossando. Se non indovina nulla beve x1, se indovina uno dei due dovrà appoggiare le sue mani per pochi istanti sul tuo decoltè (senza togliere o spostare i tuoi indumenti), se indovina entrambi potrà scegliere se palpare il tuo seno per 5 secondi oppure appoggiare le sue mani sul tuo decoltè per i prossimi 5 turni (anche se tu dovrai fare degli esercizi fisici questa sfida andrà avanti!)"
4,In quali posti ti depili? Elencali tutti poi ogni giocatrice di sesso femminile ne sceglie uno che dovrà baciare,"Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""la cavalcata alla rovescia"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.",Mettiti a doggystyle con la schiena bassa dando le spalle agli altri giocatori facci vedere del buon twerking con della musica reggeton in sottofondo per 1 minuto! (Puoi metterti su un letto o divano per non farti male alle ginocchia)
5,"A meno che già non lo indossi, indossa per questo turno un pantalone che si chiuda con il laccio e facci un fiocco ben saldo. Tutti i giocatori di sesso femminile dovranno cercare di slacciare il laccio con il solo uso della bocca in meno di 30 secondi con lo sguardo fisso nei tuoi occhi! Chi non ci riesce beve x1!","Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""la capriola"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.","Scegli un giocatore di sesso maschile esso dovrà star seduto al centro della stanza tu esci dalla stanza ed entra sulle note della canzone ""You can live your hat on - Joe Cocker"" avvicinati e provocalo più che puoi per 1 minuto, obbligo di star fermo per lui!"
6,"Scegli in modo randomico un giocatore di sesso femminile a cui dovrai fare un massaggio professionale di 20 minuti, con l'unico privilegio di poter scegliere quando farglielo, tenendo conto che per ogni 20 minuti passati da adesso a quando inizierà il massaggio dovrai sommare 2 minuti in più di massaggio! Se questa sfida ti è già capitata e ancora non hai fatto il massaggio non dovrai farne un'altro, ma dovrai sommare 5 minuti in più al tempo della sfida precedente! Quindi scegli te se rischiare di farglielo subito con la possibilità che ti ricapiti nuovamente la sfida per intero oppure aspettare sommando il minutaggio come spiegato.","Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""69"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.",Scegli un ragazzo a tua scelta con il quale giocare alla modella e il fotografo. Le regole sono molto semplici; il ragazzo che è il fotografo dovrà pensare ad almeno 20 posizioni (o più) da modella da farti fare (potete cerare su internet degli esempi di pose fotografiche modelle) e lui dovrà fare tramite la fotocamera del suo telefono vari scatti fotografici (almeno 100 foto). Alla fine del set fotografico dovrai scegliere se il fotografo potrà tenere queste fotogrefie che non potrà inviare a nessuno compreso a te e dovrà bere x3 oppure dovrà eliminarle e in questo caso berrai te x2! Ps. ovviamente le foto dovranno essere fatte a corpo completo.
7,"Sdraiati a terra. Un giocatore donna scelto in modo randomico fa scorrere lentamente (almeno 5 secondi) la sua mano dal tuo polpaccio fino al pube, questo da entrambi i polpacci","Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""il telescopio"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.",I giocatori di sesso maschile scelgono se bere x3 e farti togliere un indumento a loro scelta senza poter togliere l'unico indumento che in quel momento sta coprendo il seno o la vagina. Es. se indossi la maglietta e il reggiseno potresti toglierti uno dei due se indossi solamente la maglietta no!
8,Sdraiati a terra. Un giocatore donna scelto in modo randomico fa scorrere lentamente (almeno 5 secondi) la sua mano dal tuo collo fino al pube,"Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""lo scorpione"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.",Il giocatore di sesso maschile più vicinno a te sceglie di modificarti il modo in cui stai indossando un qualsiasi tuo indumento
9,"Stando in piedi il giocatore femminile più vicino a te dovrà tenere la sua mano sul tuo pantalone dalla parte del tuo pacco fino alla fine della prossima sfida (qualsiasi essa sia a eccezione dell'unico caso in cui tu debba fare degli esercizi fisici, solo in quel caso sei salvo e salti questa sfida)","Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""suspended"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto (durante il minuto la donna può essere appoggiata su una superficie).","Sfida da fare solamente se indossi meno di 3 indumenti (non contando calze e scarpe) se ne indossi di più salta questa sfida. Ho una notizia buona e una cattiva per te. Partendo dalla cattiva togliti tutti gli indumenti che indossi (tranne calze e scarpe) e creati un vestito fatto con la carta stagnola (consigli: creati un vestito a due pezzi uno superiore e l'altro inferiore per evitare che si strappi sulla pancia, inoltre escogita un modo per rendere il tuo vestito più resistente possibile, se tu vuoi gli altri giocatori possono aiutarti). Ma passiamo alla buona notizia... le prossime 5 volte che dovrai bere dimezzerai la tua bevuta!"
10,Se indossi tshirt / camicia / felpa toglitela e indossa la canotta più scollata che hai a disposizione.,"Scegli un giocatore del sesso opposto al tuo in modo casuale. Cercate e riproducete in maniera figurativa la posizione sessuale ""la cariola seduta"" prima simulatela muovendovi per 15 secondi poi state così per 1 minuto.","Cerca in che casistica rientri ed effettua l'obbligo corrispondente: 
-Se indossi sia le mutande che il/la pantalone/gonna togliti le mutande. 
-Se indossi le mutande ma non indossi il/la pantalone/gonna, togliti le mutande e copriti tramite un asciugamano.
-Se non indossi le mutande ma indossi il/la pantalone/gonna, allora toglieti quest'ultimo e copriti con un asciugamano.
-Se non rientri in nessuno di questi casi allora complimenti, fai bere tutti gli altri giocatori x1!"
